dataset,nanoTabPFN_6M,TabICL_ddpm500_repeats100,ngboost,catboost,xgboost,gaussian_process,conformal_quantile
abalone,0.492269,0.475257,0.346804,0.375810,0.305110,0.078805,0.275667
airfoil_self_noise,0.767673,0.694340,0.689118,0.737943,0.635086,0.338274,0.667723
auction_verification,0.890772,0.887374,0.900581,0.859898,0.849624,0.518714,0.832642
boston,0.862616,0.852622,0.867866,0.849144,0.832588,0.781040,0.808653
cars,0.906951,0.919589,0.893133,0.875515,0.848247,0.911866,0.862222
concrete_compressive_strength,0.862089,0.816778,0.769905,0.822069,0.659594,0.787765,0.644603
cpu_activity,0.949064,0.969211,0.972820,0.702668,0.711102,0.859111,0.682897
energy_efficiency,0.990349,0.984937,0.991353,0.990356,0.970220,0.919458,0.974049
grid_stability,0.837377,0.795723,0.701357,0.690129,0.448916,0.766517,0.515117
kin8nm,0.376415,0.368100,0.251712,0.343659,0.297134,0.489828,0.264345
Moneyball,0.948044,0.937673,0.918131,0.914275,0.872510,0.949784,0.905424
pumadyn32nh,0.001547,0.176587,0.052738,0.012601,-0.135065,-0.016924,-0.204541
QSAR_fish_toxicity,0.529927,0.498597,0.476992,0.476415,0.417738,0.409436,0.449705
quake,-0.029261,-0.108103,-0.549134,-0.654862,-1.063541,-0.033901,-0.921742
sensory,-0.011319,0.066431,-0.059696,-0.128384,-0.392648,0.005065,-0.236172
socmob,0.342038,0.712150,0.502607,0.626592,0.155910,0.105142,0.242749
space_ga,0.549557,0.584616,0.482200,0.466525,0.460194,-0.045909,0.339663
student_performance,0.120735,0.052821,-0.035772,0.019363,-0.149403,-0.047359,0.017253
